,Population,Children,Age,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Tenure,MonthlyCharge,Bandwidth_GB_Year,Area_Suburban,Area_Urban,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Gender_Male,Gender_Nonbinary,Techie_Yes,Contract_One year,Contract_Two Year,Port_modem_Yes,Tablet_Yes,InternetService_Fiber Optic,InternetService_None,Phone_Yes,Multiple_Yes,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,PaperlessBilling_Yes,PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check
2117,1906,2,23,78026.55,2.902962,13,1,0,5.0034089999999996,197.6288,1106.910603,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0
881,313,3,73,32746.0,11.90094641,8,0,0,5.295927221,152.47417,1109.108163,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1
5002,365,1,20,62174.76,8.081800999999999,11,0,1,61.5999,169.9671,5579.99579,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1
1475,2348,4,60,89037.69,5.771579921,7,1,0,10.404813,222.649979,1556.1087890000001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0
8780,13712,4,39,19869.24,13.347929999999998,8,2,0,60.72006999999999,192.4885,5385.46775,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0
3945,29020,7,78,17667.81,8.993714,10,0,0,25.43212,252.6378,2864.5539940000003,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1
4813,21480,2,34,33426.12,8.885438,10,2,0,29.586579999999998,114.9509,3041.355145,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
5324,5497,9,41,26043.65,13.4417,12,0,1,47.1075,162.4526,4574.099765999999,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0
2502,1583,1,19,7332.51,14.06909,8,3,0,24.14282,162.4713,2391.497324,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0
9477,166,1,34,47077.88,10.28962,12,1,1,61.54459,257.6375,6284.948965,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0
7352,10034,3,68,16657.89,10.36617,13,0,0,66.86350999999999,162.5007,5766.235014,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,0
725,3895,3,32,52856.4,9.730159336,11,1,0,9.820011726,159.947583,1596.7077550000001,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
134,610,2,59,76567.85,5.258274954,8,1,0,9.482919033,112.455141,886.9398743999999,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
6470,3639,0,29,59138.75,9.175781,12,2,0,68.03515,187.4673,6540.915805,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0
1,10446,1,27,21704.77,11.69907956,12,0,1,1.156680997,242.632554,800.9827661,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0
6331,34794,3,77,52290.12,9.799425999999999,13,0,1,69.48178,172.4624,6035.567594,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0
3750,19255,2,76,38186.34,14.66477,13,0,0,16.05745,117.4392,1943.981469,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
2052,10424,2,87,48476.58,12.13919,7,4,1,2.051657,242.6106,1187.7166619999998,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0
291,61045,2,82,68122.23,9.22949351,18,0,0,18.953705300000003,169.974105,1746.405243,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0
2788,916,1,49,38764.7,8.73353,9,1,1,6.487048000000001,102.4746,655.1704765,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0
3107,218,2,31,80392.41,9.736413,9,1,1,7.53282,149.9378,1403.8333910000001,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
3473,2889,4,76,42496.34,8.346860000000001,14,0,0,5.318865,129.9621,1163.746203,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1
843,1916,2,60,48525.16,8.096814587999999,14,1,0,5.130341596,212.64145499999998,1404.9748880000002,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1
8497,35643,0,37,20406.36,8.849924,10,0,0,51.58987,194.9699,4608.506607,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0
5643,8419,0,78,72121.31,7.291041000000001,8,3,0,67.93290999999999,252.6378,6131.484263,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0
6151,32096,4,89,25195.84,6.900377000000001,11,0,0,44.759640000000005,127.4601,4170.169733,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0
2631,11885,4,18,18377.18,13.420370000000002,7,0,0,1.84687,137.4872,464.43508319999995,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0
3579,101,3,58,29334.74,11.054310000000001,14,1,1,13.333829999999999,157.4698,1312.812193,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
3245,188,1,23,77235.23,11.07961,14,3,0,16.238529999999997,147.4564,2024.875698,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
7463,1518,1,55,81149.0,6.209465,12,1,0,55.19347,162.4827,4934.723127,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1
683,26601,0,76,19288.27,11.97665938,12,1,0,7.847288476,112.484375,625.2785223,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
9333,1389,0,25,27474.27,3.671674,6,3,0,69.69574,129.9621,6529.773925,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
2562,764,3,67,23481.88,6.923674,12,0,0,18.81683,184.9647,1907.2064899999998,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1
7939,10856,3,68,5512.35,8.677024000000001,12,0,1,64.91404,107.4958,5921.680845,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
8845,204,1,63,6025.06,12.99584,10,3,0,53.60305,217.4702,4863.296507999999,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0
5430,492,1,39,64799.95,10.57648,10,2,0,67.39149,197.6288,6182.666346,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0
2878,78,0,77,89957.16,10.32418,12,0,0,6.6307,169.9447,765.1823242,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0
868,1634,1,63,38378.12,19.08168517,14,2,0,8.791194482,127.458638,1040.933456,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1
6053,18625,1,24,26217.35,11.27862,8,1,0,48.02057,127.4421,4619.4881159999995,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0
9977,12562,4,51,117089.4,13.872860000000001,8,1,0,66.25635,245.1283,6703.314017000001,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0
5658,41204,2,66,43202.68,10.723889999999999,11,1,0,60.76709,127.4738,5576.448425,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0
6967,1829,2,36,30967.78,8.86894,12,0,0,56.19888,179.9476,5021.784914,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0
6152,5370,1,77,69959.26,8.583757,14,0,1,65.79896,199.9902,6269.18922,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0
6776,37234,2,73,8540.76,9.346761,9,2,0,60.17878,192.4885,5250.358878,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0
8838,40770,0,30,15299.42,8.040747,8,3,1,51.67488,242.6573,5050.700652,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,0
5539,666,2,46,54079.21,7.362249,12,1,0,59.6877,125.0073,5118.044271,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0
7466,1351,4,71,52458.7,11.327630000000001,13,2,1,64.15093,137.4392,5549.125491,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0
1382,16897,2,72,22070.09,16.15922157,13,2,0,4.891651665,130.024412,644.4955302999999,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1
5235,2093,5,37,47101.05,8.136004,11,1,1,71.52864,114.9728,6210.519966,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0
2179,257,10,44,38310.04,6.098505,13,0,1,4.632153,137.4392,945.5166207999998,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
5501,5638,1,39,44565.15,8.432151,11,2,0,65.33592,139.9979,5747.351224,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0
7247,7139,0,58,20991.61,8.098400999999999,11,1,0,45.19194,172.4742,3921.4327909999997,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0
8389,650,2,35,17300.45,6.2751779999999995,14,2,0,56.435719999999996,79.97886,4726.723807,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1796,1126,3,38,31369.76,12.48448983,9,0,1,14.42671843,235.137219,2363.6047519999997,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1
4914,14795,0,70,49373.8,7.980028,14,1,0,11.40635,144.9889,1685.65475,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0
7106,5182,3,63,61481.0,11.45306,9,0,0,70.8569,139.965,6509.4957079999995,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
2362,3410,3,68,34688.33,7.732667999999999,13,0,0,1.5183,127.48200000000001,315.1395676,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
1610,1061,0,29,18570.48,11.30937212,7,0,0,2.294386519,172.45674499999998,901.8793581,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
4634,34,1,77,32854.92,6.482151999999999,11,1,0,12.65954,187.6094,1892.9641629999999,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
9571,1723,4,55,44717.94,8.318141,11,1,0,54.67286,159.9656,5165.862705,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0
3114,1067,0,53,19734.93,9.326261,11,1,0,1.304537,159.9476,820.0487803,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0
3965,16943,3,29,14540.8,11.772680000000001,13,2,0,11.5365,200.1323,2105.034412,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0
3929,3199,8,25,73794.78,4.721154,9,1,0,7.778058000000001,124.9643,965.4661617,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
4288,1541,3,56,14725.39,3.3635269999999995,15,2,2,22.054560000000002,175.0062,2701.761153,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1
9756,1063,1,65,42400.24,8.934308,14,0,0,50.49242,137.4392,4357.294542000001,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
5638,1062,2,81,21145.92,12.022730000000001,13,1,2,71.93174,129.9915,6599.564823,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0
3976,1605,0,33,72504.63,7.547211999999999,13,0,0,9.104003,220.1185,1305.935649,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0
4018,1107,3,29,53936.98,6.130264,13,0,2,19.70995,194.9663,2592.211229,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0
6688,4193,0,66,83878.86,11.05579,13,2,0,66.8244,117.4858,5746.58453,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
8999,3185,1,69,50817.75,11.02449,10,1,1,64.61898000000001,129.9763,5623.819353,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0
9901,1359,9,72,77625.49,6.826295,10,1,0,67.25434,222.6143,6680.274618,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0
2596,14018,0,68,20306.89,9.811647,16,1,0,10.02603,162.4937,1183.503581,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0
9802,37727,0,24,41699.57,7.956303999999999,14,1,0,49.94733,124.9607,4741.134235,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
4567,240,2,85,7543.45,15.41425,12,2,1,2.804449,172.4733,538.267259,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0
416,23666,1,22,15380.9,8.535578792999999,12,1,2,6.4171326660000005,127.460067,1155.7824679999999,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1
3286,995,4,86,6992.92,10.66418,19,1,1,22.25056,182.4608,2162.669491,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0
7379,965,3,64,10093.41,14.15526,6,2,1,51.83423,230.1344,4912.438643,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0
2473,54023,4,74,29602.2,12.79546,12,2,0,2.446064,194.9525,1066.183659,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0
6469,1407,10,64,60462.14,11.75314,11,1,0,36.264790000000005,197.6288,3780.2536130000003,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
1482,1319,0,88,21816.78,8.974055518,11,0,0,20.13119126,129.96209299999998,2214.953933,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
3975,9339,0,84,26943.66,5.200476,11,1,0,3.430472,287.6427,924.9352116,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1
5034,1073,0,87,14405.88,7.65097,14,1,2,64.9788,212.6415,6205.789589999999,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0
8525,24286,1,37,112961.8,9.570437,17,0,1,62.59584,184.9785,5694.262968,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1
7347,2282,4,64,15678.41,9.26731,11,0,3,63.88775,230.1344,5930.862567,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0
27,5652,0,70,43882.72,14.73616645,12,0,0,1.3924215969999998,139.98157700000002,419.0508708,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0
5794,585,0,89,35559.68,8.845809,17,1,0,67.65646,162.5299,5824.23881,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0
363,20450,1,33,65187.42,9.826229752,13,2,0,12.29558653,159.965008,1334.403775,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
4733,1428,0,28,951.96,5.896488,9,0,1,8.031947,182.4833,971.3001605000001,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0
177,509,6,51,63166.87,6.0941099020000005,11,2,0,3.701557118,207.609354,937.5863866000001,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
2932,1843,4,63,10192.04,8.601513,20,2,0,22.385820000000002,157.4836,2149.727449,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0
5412,3518,3,87,20562.72,10.91183,10,0,0,44.69494,162.5007,3969.782146,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0
5379,1002,5,89,16303.01,10.52149,9,1,0,63.38899,152.4624,5972.05769,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
5578,1830,4,64,30931.95,8.038547,18,0,0,59.2505,162.4653,5730.292957,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0
431,1088,0,53,71215.87,6.702458265,13,0,1,5.02568958,184.97845800000002,811.5600648,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1
4855,109,2,34,56733.5,11.8323,9,1,0,15.1631,227.4754,1849.4181489999999,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0
6703,20695,5,52,81315.45,9.483812,7,0,0,64.67729,202.65,6473.586614,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0
9000,1520,1,76,27917.73,10.5117,7,1,0,69.35043,157.4836,5780.643396,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1
8044,157,1,20,6733.76,11.865730000000001,11,2,1,65.9999,112.4844,5604.566057999999,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0
5401,1833,0,78,141362.6,9.366098,13,1,0,65.24070999999999,114.9838,5347.776997999999,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0
5877,9,0,70,35738.78,10.39931,14,1,0,60.921780000000005,114.9509,5511.579607,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0
752,1503,3,79,23507.1,7.607841769,15,0,0,14.08292576,195.006206,1559.679776,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0
